Date,Office365 Portal,www.weather.easytravel.com,www.cloud.easytravel.com,perfwear-shop,Google Hipster Shop,www.angular.easytravel.com,angular easytravel booking,angular easytravel bounce,CNN,easyTravel booking,angular easytravel abandon
10:50:45,0.25,15.0,113.25,24.0,1010.0,64.0,484.0,23.0,70.0,552.0,138.0
11:39:49,0.25,16.0,116.75,23.0,1019.0,64.0,483.0,23.0,70.0,564.0,138.0
12:15:43,0.25,15.0,114.0,24.0,997.0,49.0,425.0,23.0,70.0,463.0,120.0
12:26:19,0.25,16.0,113.75,23.0,997.0,50.0,381.0,23.0,70.0,420.0,110.0
12:26:51,0.25,16.0,114.5,23.0,997.0,50.0,381.0,23.0,70.0,420.0,110.0
12:27:09,0.25,15.0,114.25,23.0,997.0,42.0,374.0,23.0,70.0,420.0,110.0
12:27:28,0.25,15.0,115.25,23.0,1008.0,42.0,378.0,23.0,70.0,420.0,110.0
12:32:23,0.25,16.0,114.5,23.0,1008.0,42.0,361.0,23.0,70.0,398.0,105.0
12:32:55,0.25,16.0,114.5,23.0,1008.0,42.0,361.0,23.0,70.0,398.0,105.0
12:33:55,0.25,16.0,114.25,23.0,997.0,42.0,361.0,22.0,70.0,387.0,105.0
12:35:11,0.25,15.0,114.0,23.0,997.0,42.0,354.0,23.0,70.0,376.0,99.0
12:36:09,0.25,15.0,114.25,23.0,997.0,43.0,349.0,23.0,70.0,376.0,100.0
23:05:14,0.0,15.0,113.25,24.0,996.0,64.0,483.0,23.0,70.0,540.0,138.0
